,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
Australia ,,"1,40,69,082",42,"9,03,88,86,74,402","49,805","64,246",5.02,1.88,0.37,0.16,0.483,9.6,22.6,33.6,25.0,25.0,25.0,25.0
New South Wales,,"44,66,941",42,"3,00,17,69,88,652","50,153","67,200",5.11,1.91,0.37,0.16,0.499,11.2,24.5,35.5,25.0,24.7,24.4,26.0
10050,Albury,"29,898",43,"1,68,65,39,002","47,732","56,410",4.59,1.75,0.38,0.16,0.442,7.7,19.4,29.7,25.1,27.0,27.6,20.2
10130,Armidale Regional,"15,913",44,"82,86,31,202","42,220","52,073",5.56,1.91,0.34,0.13,0.480,7.5,20.0,31.3,30.1,28.0,23.2,18.7
10250,Ballina,"25,608",48,"1,38,05,01,523","42,246","53,909",5.49,1.91,0.35,0.13,0.488,8.8,22.1,33.2,29.6,28.6,23.1,18.7
10300,Balranald,"1,239",45,"6,93,45,495","46,868","55,969",4.09,1.73,0.42,0.16,0.456,6.3,20.5,31.9,24.8,29.1,28.1,18.1
10470,Bathurst Regional,"22,346",44,"1,30,18,20,483","49,633","58,257",4.74,1.81,0.38,0.16,0.437,5.8,17.5,28.2,24.1,26.0,26.0,23.9
10500,Bayside,"1,01,523",37,"6,09,32,77,110","49,445","60,019",4.60,1.82,0.40,0.19,0.445,6.6,18.8,29.8,24.6,25.8,26.0,23.6
10550,Bega Valley,"19,742",51,"91,57,83,256","38,318","46,388",5.70,1.89,0.33,0.12,0.474,6.4,19.0,30.4,32.7,30.1,22.9,14.4
10600,Bellingen,"6,953",51,"31,05,17,376","35,924","44,659",6.58,2.00,0.30,0.09,0.501,6.5,19.3,31.3,36.0,28.4,21.0,14.7
10650,Berrigan,"4,584",48,"21,28,46,180","40,157","46,432",5.56,1.83,0.33,0.11,0.482,5.8,18.1,29.5,31.8,28.4,24.8,15.0
10750,Blacktown,"1,95,437",38,"11,50,68,93,919","52,802","58,878",4.06,1.68,0.41,0.20,0.395,4.6,15.3,25.7,21.4,25.4,29.9,23.3
10800,Bland,"3,136",47,"15,59,14,366","40,816","49,718",6.43,1.97,0.31,0.08,0.550,8.2,21.8,33.6,31.1,27.7,22.6,18.7
10850,Blayney,"3,967",47,"22,38,64,442","47,530","56,432",5.08,1.87,0.37,0.13,0.487,7.8,19.7,30.8,25.7,26.8,25.3,22.2
10900,Blue Mountains,"46,244",47,"2,85,98,77,915","49,788","61,843",5.66,1.96,0.35,0.14,0.462,6.3,18.6,29.8,26.2,23.8,22.5,27.5
10950,Bogan,"1,547",45,"8,31,70,439","45,717","53,762",5.74,1.94,0.34,0.08,0.547,6.5,20.1,31.9,28.0,25.7,23.8,22.5
