Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Total,Total,Total,380,475,600,"78,448","8,20,712",1.06%,3.26%,-8.42%,-1.68%
Total,Total,Total,Total,Total,Bedsitter,280,330,400,"1,262","10,433",1.54%,-5.71%,-18.89%,12.68%
Total,Total,Total,Total,Total,1 Bedroom,320,415,495,"14,934","1,21,447",1.22%,-1.19%,-14.09%,3.53%
Total,Total,Total,Total,Total,Not Specified,300,400,510,"1,442","41,363",0.00%,-2.44%,3.30%,-21.03%
Total,Total,Total,Total,Total,2 Bedrooms,370,450,590,"31,498","3,08,268",-2.17%,-2.17%,-9.31%,3.10%
Total,Total,Total,Total,Total,3 Bedrooms,420,500,650,"19,355","2,27,704",0.00%,11.11%,-4.49%,-7.17%
Total,Total,Total,Total,Total,4 or more Bedrooms,520,620,800,"9,957","1,11,497",1.64%,10.71%,-3.56%,-9.60%
Total,Total,Total,Total,House,Total,400,500,650,"26,633","3,00,963",0.00%,11.11%,-2.04%,-9.14%
Total,Total,Total,Total,House,Bedsitter,310,410,530,102,843,9.33%,6.49%,0.99%,-12.82%
Total,Total,Total,Total,House,1 Bedroom,241,318,420,"1,034","6,883",5.83%,3.25%,-6.59%,9.77%
Total,Total,Total,Total,House,Not Specified,375,470,600,229,"8,468",-6.00%,4.44%,6.51%,-40.21%
Total,Total,Total,Total,House,2 Bedrooms,350,400,520,"4,282","41,990",0.00%,5.26%,0.21%,-6.77%
Total,Total,Total,Total,House,3 Bedrooms,400,470,580,"12,040","1,44,875",1.08%,10.59%,-2.11%,-10.54%
Total,Total,Total,Total,House,4 or more Bedrooms,520,620,780,"8,946","97,904",3.33%,12.73%,-2.70%,-8.88%
Total,Total,Total,Total,Other,Total,280,375,480,"3,590","67,143",1.22%,-6.37%,-8.39%,-4.93%
Total,Total,Total,Total,Other,Bedsitter,73,280,350,230,"2,722",-12.50%,-37.78%,-32.35%,6.98%
Total,Total,Total,Total,Other,1 Bedroom,200,255,330,877,"10,717",2.00%,-7.27%,-27.64%,-1.13%
Total,Total,Total,Total,Other,Not Specified,300,390,500,726,"21,001",-2.50%,-2.50%,11.18%,-9.81%
Total,Total,Total,Total,Other,2 Bedrooms,340,390,450,"1,073","17,324",0.00%,-2.50%,2.19%,-2.19%
Total,Total,Total,Total,Other,3 Bedrooms,400,470,570,506,"11,395",2.17%,4.44%,2.22%,-5.42%
Total,Total,Total,Total,Other,4 or more Bedrooms,520,625,758,178,"3,984",-2.95%,4.17%,5.33%,-24.89%
Total,Total,Total,Total,Townhouse,Total,420,520,660,"5,059","61,918",0.00%,6.12%,-8.96%,-8.10%
Total,Total,Total,Total,Townhouse,Bedsitter,-,-,-,-,74,-,-,-,-
Total,Total,Total,Total,Townhouse,1 Bedroom,270,350,450,174,"1,739",0.00%,0.00%,8.07%,-2.79%
Total,Total,Total,Total,Townhouse,Not Specified,395,440,595,49,"1,455",-16.98%,-11.11%,2.08%,-23.44%
Total,Total,Total,Total,Townhouse,2 Bedrooms,380,450,550,"1,611","18,866",0.00%,7.14%,-8.26%,-6.82%
Total,Total,Total,Total,Townhouse,3 Bedrooms,450,550,670,"2,625","32,377",0.00%,10.00%,-8.47%,-6.12%
Total,Total,Total,Total,Townhouse,4 or more Bedrooms,570,680,900,597,"7,407",-2.86%,4.62%,-16.85%,-18.44%
Total,Total,Total,Total,Flat/Unit,Total,370,460,580,"43,166","3,90,688",0.00%,-2.13%,-11.89%,4.78%
Total,Total,Total,Total,Flat/Unit,Bedsitter,290,335,395,927,"6,794",3.08%,-4.29%,-16.41%,18.39%
Total,Total,Total,Total,Flat/Unit,1 Bedroom,350,430,500,"12,849","1,02,108",2.38%,0.00%,-13.78%,3.48%
Total,Total,Total,Total,Flat/Unit,Not Specified,290,370,500,438,"10,439",-5.73%,-7.50%,-8.75%,-23.69%
Total,Total,Total,Total,Flat/Unit,2 Bedrooms,375,475,600,"24,532","2,30,088",-1.04%,-3.06%,-11.29%,6.05%
Total,Total,Total,Total,Flat/Unit,3 Bedrooms,480,640,850,"4,184","39,057",-1.54%,1.59%,-9.10%,3.03%
