Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Total,Total,Total,Total,Total,540,740,1074,955,"37,195",2.07%,8.07%,-10.52%,37.79%
Total,Total,Total,Total,Non Strata,540,770,1200,1014,"24,156",2.67%,12.41%,-14.27%,38.78%
Total,Total,Total,Total,Strata,540,695,912,846,"13,039",1.02%,2.21%,-2.64%,35.99%
Total,Total,Total,Albury,Total,299,380,500,403,361,2.56%,19.12%,-10.64%,34.70%
Total,Total,Total,Albury,Non Strata,340,413,530,443,285,-0.12%,19.02%,-14.67%,31.34%
Total,Total,Total,Albury,Strata,178,221,299,251,76,-4.74%,2.79%,8.57%,49.02%
Total,Total,Total,Armidale Regional,Total,296,355,455,403,179,-6.58%,7.58%,14.01%,110.59%
Total,Total,Total,Armidale Regional,Non Strata,310,372,459,408,154,-2.24%,12.58%,6.21%,81.18%
Total,Total,Total,Armidale Regional,Strata,200,269,355,373,s,-29.53%,,108.33%,
Total,Total,Total,Ballina,Total,635,795,1143,927,218,8.16%,20.00%,-22.42%,57.97%
Total,Total,Total,Ballina,Non Strata,729,930,1335,1074,139,9.41%,27.57%,-20.11%,43.30%
Total,Total,Total,Ballina,Strata,525,645,793,668,79,11.02%,26.47%,-26.17%,92.68%
Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bathurst Regional,Total,371,460,550,472,262,0.00%,2.79%,-9.34%,55.95%
Total,Total,Total,Bathurst Regional,Non Strata,399,475,571,495,234,-1.14%,0.53%,-7.87%,58.11%
Total,Total,Total,Bathurst Regional,Strata,232,259,336,281,s,-16.45%,-27.75%,-20.00%,40.00%
Total,Total,Total,Bayside,Total,670,800,1070,925,853,-2.44%,-2.44%,-14.53%,36.04%
Total,Total,Total,Bayside,Non Strata,1315,1505,1715,1537,177,7.50%,7.50%,-34.69%,8.59%
Total,Total,Total,Bayside,Strata,650,745,850,765,676,-4.49%,2.05%,-7.02%,45.69%
Total,Total,Total,Bega Valley,Total,428,580,711,584,260,6.42%,28.89%,-6.47%,80.56%
Total,Total,Total,Bega Valley,Non Strata,500,630,760,637,199,2.86%,27.02%,-8.72%,84.26%
Total,Total,Total,Bega Valley,Strata,315,395,490,411,61,7.19%,21.54%,1.67%,69.44%
Total,Total,Total,Bellingen,Total,501,665,868,716,54,3.10%,10.83%,-41.94%,20.00%
Total,Total,Total,Bellingen,Non Strata,528,678,900,727,52,-0.37%,11.75%,-38.82%,30.00%
Total,Total,Total,Bellingen,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Total,218,320,423,330,63,39.13%,42.86%,6.78%,53.66%
Total,Total,Total,Berrigan,Non Strata,220,323,426,335,60,38.41%,39.01%,3.45%,50.00%
Total,Total,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blacktown,Total,626,760,940,802,"1,589",3.95%,8.57%,1.66%,57.95%
Total,Total,Total,Blacktown,Non Strata,720,850,1003,879,"1,189",6.92%,11.84%,-1.25%,53.82%
Total,Total,Total,Blacktown,Strata,494,570,658,572,400,3.64%,0.00%,11.42%,71.67%
Total,Total,Total,Bland,Total,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Total,Total,Total,Bland,Non Strata,148,265,353,256,31,35.90%,3.92%,-11.43%,0.00%
Total,Total,Total,Blayney,Total,361,433,520,459,49,16.24%,21.97%,-9.26%,32.43%
Total,Total,Total,Blayney,Non Strata,361,433,520,459,49,16.24%,21.97%,-9.26%,36.11%
Total,Total,Total,Blue Mountains,Total,645,755,940,808,379,5.59%,13.75%,-19.53%,27.18%
Total,Total,Total,Blue Mountains,Non Strata,650,767,950,820,358,6.54%,15.36%,-19.91%,26.50%
Total,Total,Total,Blue Mountains,Strata,530,600,675,603,s,16.50%,26.32%,-12.50%,40.00%
Total,Total,Total,Bogan,Total,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Total,Total,Total,Bogan,Non Strata,139,172,195,180,s,18.62%,29.81%,114.29%,650.00%
Total,Total,Total,Bourke,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Broken Hill,Total,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Total,Total,Total,Broken Hill,Non Strata,90,120,202,146,107,-2.44%,-4.00%,15.05%,50.70%
Total,Total,Total,Burwood,Total,700,890,1670,1236,133,-6.32%,-3.26%,-6.34%,23.15%
Total,Total,Total,Burwood,Non Strata,1550,1860,2500,2012,49,8.14%,23.83%,-20.97%,48.48%
Total,Total,Total,Burwood,Strata,665,769,880,783,84,6.81%,-7.35%,5.00%,12.00%
Total,Total,Total,Byron,Total,1000,1400,2100,1653,203,25.00%,58.19%,-32.78%,27.67%
Total,Total,Total,Byron,Non Strata,1198,1563,2425,1824,156,21.12%,58.63%,-26.07%,50.00%
Total,Total,Total,Byron,Strata,719,875,1168,1084,47,13.64%,30.60%,-48.35%,-14.55%
Total,Total,Total,Cabonne,Total,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Total,Total,Total,Cabonne,Non Strata,230,290,650,436,41,-22.67%,-22.04%,-36.92%,51.85%
Total,Total,Total,Camden,Total,721,821,954,859,439,7.96%,13.17%,-26.96%,28.74%
Total,Total,Total,Camden,Non Strata,740,831,970,876,414,7.92%,12.91%,-26.73%,33.55%
Total,Total,Total,Camden,Strata,495,610,655,586,s,-8.61%,1.67%,-30.56%,-19.35%
Total,Total,Total,Campbelltown,Total,590,675,750,667,621,7.14%,12.50%,0.98%,42.76%
Total,Total,Total,Campbelltown,Non Strata,645,700,770,714,498,7.69%,11.11%,-2.73%,45.61%
Total,Total,Total,Campbelltown,Strata,423,465,533,474,123,4.97%,4.03%,19.42%,32.26%
Total,Total,Total,Canada Bay,Total,901,1215,1958,1489,423,2.53%,-2.13%,-0.94%,39.14%
Total,Total,Total,Canada Bay,Non Strata,1956,2430,2750,2429,126,13.02%,21.50%,-15.44%,16.67%
Total,Total,Total,Canada Bay,Strata,825,1013,1250,1091,297,12.44%,7.71%,6.83%,51.53%
Total,Total,Total,Canterbury-Bankstown,Total,590,865,1140,896,"1,223",-1.23%,14.57%,0.91%,48.06%
Total,Total,Total,Canterbury-Bankstown,Non Strata,955,1100,1300,1157,665,10.00%,11.39%,-5.14%,52.87%
Total,Total,Total,Canterbury-Bankstown,Strata,469,573,690,584,558,-1.29%,1.33%,9.20%,42.71%
Total,Total,Total,Carrathool,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Central Coast,Total,600,740,940,828,"2,000",5.75%,15.66%,-8.34%,50.83%
Total,Total,Total,Central Coast,Non Strata,655,796,1050,901,"1,513",8.30%,19.70%,-11.73%,47.18%
Total,Total,Total,Central Coast,Strata,455,555,710,602,487,-1.33%,9.68%,4.06%,63.42%
Total,Total,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Cessnock,Total,358,430,540,471,314,5.52%,14.67%,-18.44%,31.38%
Total,Total,Total,Cessnock,Non Strata,382,450,560,495,272,7.14%,16.88%,-23.16%,23.64%
Total,Total,Total,Cessnock,Strata,291,311,358,317,42,0.32%,-2.81%,35.48%,121.05%
Total,Total,Total,Clarence Valley,Total,353,455,630,509,274,3.41%,8.98%,-21.49%,18.10%
